Player,Pos,PPG,APG,RPG,PPG_norm,APG_norm,RPG_norm,Score,Label
Earl Boykins,SG,10.231707317073171,3.597560975609756,1.7439024390243902,0.2832055254548287,0.24745128403664987,0.0934640522875817,0.23095553425410778,Reserva
Michael Bradley,C-PF,0.9375,0.0625,1.4375,0.025949254790631652,0.004298941798941799,0.07704248366013072,0.0,Reserva
Shawn Bradley,C,3.3181818181818183,0.303030303030303,2.621212121212121,0.09184463513775082,0.020843354176687506,0.14048326401267577,0.11392768436659946,Reserva
Torraye Braggs,PF,2.6666666666666665,0.4666666666666667,2.6,0.07381121362668558,0.03209876543209876,0.13934640522875819,0.10032194219853385,Reserva
Elton Brand,PF,19.98550724637681,3.289855072463768,10.347826086956522,0.5531829542999968,0.2262863277356031,0.5545893719806764,0.5048516691556775,All-Star
J.R. Bremer,PG,3.2777777777777777,1.4166666666666667,1.0,0.09072628341613437,0.0974426807760141,0.05359477124183007,0.09222790648735901,Reserva
Jamison Brewer,PG,2.4615384615384617,1.3076923076923077,0.8461538461538461,0.06813342796309439,0.08994708994708994,0.04534942182001006,0.07790105864793795,Reserva
Primoz Brezec,C,1.5555555555555556,0.1666666666666666,0.8333333333333334,0.04305654128223326,0.011463844797178125,0.044662309368191724,0.04086073248530283,Reserva
Damone Brown,PF,1.0,0.0,1.6666666666666667,0.027679205110007096,0.0,0.08932461873638345,0.054350031156694206,Reserva
Devin Brown,SG,4.0344827586206895,0.5689655172413793,2.2413793103448274,0.11167127578864931,0.039135194307608104,0.12012621140410187,0.08434783031932336,Reserva
Kedrick Brown,SF,5.254545454545455,1.1636363636363636,2.6545454545454548,0.14544164139621912,0.08003848003848003,0.14226975638740347,0.13125084937158582,Reserva
Kwame Brown,PF,10.87837837837838,1.5135135135135136,7.432432432432432,0.3011048663994016,0.1041041041041041,0.3983395159865748,0.3201720768486936,Role Player
P.J. Brown,PF,10.45,1.9375,8.625,0.2892476933995741,0.13326719576719576,0.46225490196078434,0.3523542230353225,Role Player
